10.38.32.1	00:1b:17:00:0b:27	Palo Alto Networks
10.38.32.13	00:90:0b:28:85:ff	LANNER ELECTRONICS, INC.
10.38.32.21	00:90:0b:2a:5a:41	LANNER ELECTRONICS, INC.
10.38.32.34	78:4b:87:bb:6a:f9	(Unknown)
10.38.32.69	78:0c:b8:94:e0:f3	(Unknown)
10.38.32.74	08:ed:b9:1a:ef:7e	Hon Hai Precision Ind. Co.,Ltd.
10.38.32.133	7c:c3:a1:af:09:cf	Apple, Inc.
10.38.32.138	2c:f0:a2:20:cc:ad	(Unknown)
10.38.32.181	94:a1:a2:07:de:c1	(Unknown)
10.38.32.83	68:db:ca:c0:3b:6d	(Unknown)
10.38.32.188	f4:31:c3:6a:22:59	(Unknown)
10.38.32.214	fc:c2:de:7f:64:1a	(Unknown)
10.38.32.189	00:26:bb:0a:2a:f8	Apple, Inc
10.38.32.214	fc:c2:de:7f:64:1a	(Unknown) (DUP: 2)
10.38.32.225	00:1f:5b:c8:bf:aa	Apple, Inc.
10.38.33.6	8c:8e:f2:37:42:8c	(Unknown)
10.38.33.0	18:3d:a2:12:b4:30	Intel Corporate
10.38.33.14	90:b6:86:36:5b:3c	(Unknown)
10.38.33.14	90:b6:86:36:5b:3c	(Unknown) (DUP: 2)
10.38.33.26	68:a8:6d:3e:32:fa	Apple, Inc.
10.38.32.242	34:23:ba:ef:27:04	Samsung Electro Mechanics co.,LTD.
10.38.32.227	84:7a:88:60:2d:34	HTC Corporation
10.38.32.227	84:7a:88:60:2d:34	HTC Corporation (DUP: 2)
10.38.32.242	34:23:ba:ef:27:04	Samsung Electro Mechanics co.,LTD. (DUP: 2)
10.38.32.167	4c:66:41:b5:24:28	(Unknown)
10.38.33.69	f4:09:d8:ab:6e:1b	(Unknown)
10.38.32.169	4c:66:41:a9:d8:14	(Unknown)
10.38.33.69	f4:09:d8:ab:6e:1b	(Unknown) (DUP: 2)
10.38.32.64	70:3e:ac:d8:a2:53	(Unknown)
10.38.32.106	d0:a6:37:93:37:d8	(Unknown)
10.38.32.239	f4:37:b7:78:de:2f	(Unknown)
10.38.32.68	24:f0:94:91:a1:3e	(Unknown)
10.38.33.136	98:5f:d3:db:91:0f	(Unknown)
10.38.33.186	48:e2:44:d8:92:5f	(Unknown)
10.38.33.190	34:36:3b:cf:6b:c6	(Unknown)
10.38.33.85	d0:5b:a8:8a:9e:f4	(Unknown)
10.38.33.168	e0:c7:67:05:0c:0e	(Unknown)
10.38.32.47	0c:d7:46:2a:a9:f2	(Unknown)
10.38.33.129	70:81:eb:94:8c:e6	(Unknown)
10.38.33.193	08:d4:0c:e5:99:cb	Intel Corporate
10.38.33.204	9c:f3:87:b1:54:80	(Unknown)
10.38.33.138	68:a8:6d:53:e5:50	Apple, Inc.
10.38.33.220	40:f0:2f:4c:f0:cc	(Unknown)
10.38.34.10	f4:06:69:2f:40:6d	(Unknown)
10.38.34.13	28:ed:6a:ed:7c:89	(Unknown)
10.38.33.236	e8:91:20:33:7b:20	(Unknown)
10.38.33.248	68:d9:3c:3f:b9:1e	(Unknown)
10.38.33.219	08:74:02:c5:28:be	(Unknown)
10.38.33.112	ac:5f:3e:fe:8e:56	(Unknown)
10.38.34.25	80:7a:bf:37:f9:60	(Unknown)
10.38.33.103	4c:66:41:70:02:51	(Unknown)
10.38.33.185	c0:bd:d1:22:5b:bb	(Unknown)
10.38.34.78	d0:53:49:5e:6a:c1	(Unknown)
10.38.34.86	5c:e0:c5:ae:88:46	(Unknown)
10.38.34.99	1c:5c:f2:6e:78:59	(Unknown)
10.38.33.31	00:ae:fa:e7:87:d9	(Unknown)
10.38.34.114	60:f8:1d:c8:84:46	(Unknown)
10.38.33.240	40:4d:7f:db:67:ff	(Unknown)
10.38.34.115	d0:03:4b:82:8f:c4	(Unknown)
10.38.34.102	4c:0b:be:15:51:b8	(Unknown)
10.38.33.112	ac:5f:3e:fe:8e:56	(Unknown) (DUP: 2)
10.38.34.25	80:7a:bf:37:f9:60	(Unknown) (DUP: 2)
10.38.33.238	54:9f:13:35:44:b4	(Unknown)
10.38.34.52	70:14:a6:51:2c:ee	(Unknown)
10.38.34.164	a4:db:30:47:8c:f7	(Unknown)
10.38.34.183	70:14:a6:4f:47:c1	(Unknown)
10.38.34.188	94:65:9c:1b:3b:68	(Unknown)
10.38.34.199	70:3e:ac:9e:94:97	(Unknown)
10.38.34.68	20:ab:37:55:3d:e9	(Unknown)
10.38.34.204	bc:ec:5d:f3:2a:8d	(Unknown)
10.38.34.92	58:1f:28:19:d6:09	(Unknown)
10.38.34.187	6c:8d:c1:ad:4a:34	(Unknown)
10.38.34.176	90:48:9a:77:5b:99	(Unknown)
10.38.32.251	40:b3:95:de:ea:c7	Apple
10.38.32.85	70:ec:e4:75:fe:a4	(Unknown)
10.38.33.230	d8:5d:e2:10:00:ef	(Unknown)
10.38.35.4	6c:8d:c1:be:2a:b5	(Unknown)
10.38.34.241	f4:09:d8:c8:62:06	(Unknown)
10.38.34.241	f4:09:d8:c8:62:06	(Unknown) (DUP: 2)
10.38.35.45	70:77:81:9a:14:e3	(Unknown)
10.38.34.106	cc:08:8d:f0:27:d9	(Unknown)
10.38.34.192	58:91:cf:65:e5:2d	Intel Corporate
10.38.35.59	18:4f:32:d2:a5:ab	(Unknown)
10.38.35.49	6c:24:83:9f:3a:b4	(Unknown)
10.38.35.70	00:27:10:ea:fa:60	Intel Corporate
10.38.34.133	8c:2d:aa:b0:bf:57	Apple Inc
10.38.35.121	a4:08:ea:1c:4e:a7	(Unknown)
10.38.35.131	e0:98:61:47:50:0b	(Unknown)
10.38.35.128	6c:8d:c1:36:b5:58	(Unknown)
10.38.35.93	84:7a:88:02:20:94	HTC Corporation
10.38.35.121	a4:08:ea:1c:4e:a7	(Unknown) (DUP: 2)
10.38.35.116	ac:0d:1b:fd:21:cf	(Unknown)
10.38.35.161	c0:cb:38:1d:16:f3	Hon Hai Precision Ind. Co.,Ltd.
10.38.35.116	ac:0d:1b:fd:21:cf	(Unknown) (DUP: 2)
10.38.35.107	b0:e2:35:92:e2:4e	(Unknown)
10.38.35.212	58:48:22:3b:de:c2	(Unknown)
10.38.35.195	b0:34:95:5c:eb:67	(Unknown)
10.38.35.210	28:a0:2b:cd:0e:e1	(Unknown)
10.38.34.237	54:26:96:d9:d3:a9	Apple
10.38.36.11	24:fd:52:c5:dc:45	Liteon Technology Corporation
10.38.36.21	e4:f8:9c:bd:4b:65	(Unknown)
10.38.36.16	0c:8b:fd:7e:95:be	Intel Corporate
10.38.36.39	30:52:cb:70:13:d9	(Unknown)
10.38.34.138	98:f0:ab:4a:80:b8	(Unknown)
10.38.35.94	78:4b:87:46:49:75	(Unknown)
10.38.36.93	b4:ae:2b:2b:96:51	(Unknown)
10.38.35.155	28:a0:2b:ce:ee:01	(Unknown)
10.38.35.8	00:61:71:bf:a4:d6	(Unknown)
10.38.35.158	90:60:f1:92:19:53	(Unknown)
10.38.36.89	e4:9a:79:ce:2c:74	(Unknown)
10.38.35.237	c0:1a:da:c2:94:fb	(Unknown)
10.38.35.240	cc:08:8d:a1:0a:a0	(Unknown)
10.38.36.17	60:f1:89:fd:ad:e1	(Unknown)
10.38.36.238	00:ae:fa:5b:b9:d3	(Unknown)
10.38.36.238	00:ae:fa:5b:b9:d3	(Unknown) (DUP: 2)
10.38.36.91	30:19:66:7f:17:4e	(Unknown)
10.38.36.134	fc:c2:de:dc:8b:72	(Unknown)
10.38.36.181	c0:ee:fb:52:b4:38	(Unknown)
10.38.36.174	bc:85:56:a5:82:d9	Hon Hai Precision Ind. Co.,Ltd.
10.38.36.134	fc:c2:de:dc:8b:72	(Unknown) (DUP: 2)
10.38.36.72	ec:1f:72:b0:3a:f0	(Unknown)
10.38.37.28	74:1b:b2:03:d1:64	(Unknown)
10.38.34.222	18:cf:5e:10:be:b6	(Unknown)
10.38.36.167	ac:5f:3e:b8:05:91	(Unknown)
10.38.37.44	6c:72:e7:12:f0:60	(Unknown)
10.38.35.105	54:72:4f:12:ac:44	(Unknown)
10.38.37.29	b8:44:d9:aa:b2:af	(Unknown)
10.38.36.253	c4:21:c8:3b:34:61	KYOCERA Corporation
10.38.36.179	cc:3a:61:19:70:fe	SAMSUNG ELECTRO MECHANICS CO., LTD.
10.38.36.50	fc:c2:de:5f:85:5d	(Unknown)
10.38.37.68	60:f1:89:e6:0e:c5	(Unknown)
10.38.37.68	60:f1:89:e6:0e:c5	(Unknown) (DUP: 2)
10.38.36.50	fc:c2:de:5f:85:5d	(Unknown) (DUP: 2)
10.38.36.17	60:f1:89:fd:ad:e1	(Unknown) (DUP: 2)
10.38.36.167	ac:5f:3e:b8:05:91	(Unknown) (DUP: 2)
10.38.37.79	48:d7:05:b6:60:f5	(Unknown)
10.38.35.20	d0:25:98:c5:c4:85	(Unknown)
