204.84.8.1	b4:14:89:60:aa:80	Cisco Systems, Inc
204.84.8.11	00:1a:1e:00:2c:38	Aruba Networks
204.84.8.12	00:1a:1e:00:b5:78	Aruba Networks
204.84.8.13	00:1a:1e:02:38:b0	Aruba Networks
204.84.8.14	00:1a:1e:02:39:98	Aruba Networks
204.84.8.15	00:1a:1e:02:82:60	Aruba Networks
204.84.8.16	00:1a:1e:00:b7:a0	Aruba Networks
204.84.8.17	00:1a:1e:02:38:68	Aruba Networks
204.84.8.18	00:1a:1e:02:38:f0	Aruba Networks
204.84.8.19	00:1a:1e:01:3d:10	Aruba Networks
204.84.8.20	00:1a:1e:01:57:48	Aruba Networks
204.84.8.21	00:1a:1e:01:88:78	Aruba Networks
204.84.8.22	00:0b:86:0d:6b:20	Aruba Networks
204.84.8.23	00:1a:1e:00:51:38	Aruba Networks
204.84.8.24	00:1a:1e:00:3c:10	Aruba Networks
204.84.8.27	00:1a:1e:01:88:f0	Aruba Networks
204.84.8.28	00:0b:86:0d:6b:00	Aruba Networks
204.84.8.71	c4:85:08:3f:c1:63	Intel Corporate
204.84.8.78	9c:b6:d0:0f:e2:65	Rivet Networks
204.84.8.79	4c:bb:58:64:9f:30	Chicony Electronics Co., Ltd.
204.84.8.99	f4:5c:89:b1:bd:c1	(Unknown)
204.84.8.89	30:52:cb:80:5c:49	Liteon Technology Corporation
204.84.8.97	38:ca:da:d9:de:fc	Apple, Inc.
204.84.8.111	44:65:0d:cd:85:03	(Unknown)
204.84.8.74	1c:91:48:01:03:66	(Unknown)
204.84.8.85	f0:25:b7:1f:11:b4	Samsung Electro Mechanics co., LTD.
204.84.8.68	98:01:a7:b5:46:cf	(Unknown)
204.84.8.96	28:f0:76:38:31:b0	Apple, Inc.
204.84.8.134	8c:a9:82:8f:e4:e2	Intel Corporate
204.84.8.140	b8:e8:56:3c:d9:84	Apple, Inc.
204.84.8.163	f4:5c:89:97:d2:93	(Unknown)
204.84.8.135	ac:bc:32:aa:11:b1	Apple, Inc.
204.84.8.115	2c:be:08:eb:ca:0c	Apple, Inc.
204.84.8.143	24:da:9b:0c:65:04	Motorola Mobility LLC, a Lenovo Company
204.84.8.148	d0:22:be:63:c6:76	Samsung Electro Mechanics co.,LTD.
204.84.8.138	30:52:cb:72:32:2b	Liteon Technology Corporation
204.84.8.182	b8:ee:65:61:62:08	Liteon Technology Corporation
204.84.8.186	e0:06:e6:26:dc:2d	Hon Hai Precision Ind. Co.,Ltd.
204.84.8.178	ac:bc:32:8a:78:25	Apple, Inc.
204.84.8.208	04:d3:cf:e6:29:c9	(Unknown)
204.84.8.192	ac:bc:32:d4:a9:a1	Apple, Inc.
204.84.8.207	1c:56:fe:c9:a4:4b	Motorola Mobility LLC, a Lenovo Company
204.84.8.215	64:bc:0c:47:34:53	LG Electronics
204.84.8.183	90:b0:ed:84:d4:0e	(Unknown)
204.84.8.214	88:63:df:b6:0f:89	Apple, Inc.
