10.38.0.1	00:1b:17:00:0b:27	Palo Alto Networks
10.38.0.13	00:90:0b:28:85:ff	LANNER ELECTRONICS, INC.
10.38.0.21	00:90:0b:2a:5a:41	LANNER ELECTRONICS, INC.
10.38.0.30	f8:da:0c:44:57:d1	(Unknown)
10.38.0.37	00:c2:c6:0d:75:a0	Intel Corporate
10.38.0.58	8c:f5:a3:73:de:35	(Unknown)
10.38.0.77	0c:84:dc:55:f4:07	Hon Hai Precision Ind. Co.,Ltd.
10.38.0.71	20:ee:28:b2:8e:60	(Unknown)
10.38.0.96	70:1c:e7:d5:01:a1	(Unknown)
10.38.0.78	2c:20:0b:34:86:25	(Unknown)
10.38.0.90	00:db:70:56:8c:cf	(Unknown)
10.38.0.74	a0:af:bd:82:4e:f2	(Unknown)
10.38.0.86	88:b1:11:8a:0c:b4	(Unknown)
10.38.0.131	b4:8b:19:c1:63:74	(Unknown)
10.38.0.101	04:4b:ed:44:26:da	(Unknown)
10.38.0.146	28:16:ad:b2:d4:41	(Unknown)
10.38.0.54	ac:5f:3e:96:7d:66	(Unknown)
10.38.0.137	d8:c4:6a:50:c6:da	(Unknown)
10.38.0.60	78:f8:82:d1:2c:25	(Unknown)
10.38.0.75	18:65:90:52:26:b7	(Unknown)
10.38.0.163	3c:95:09:54:7f:37	(Unknown)
10.38.0.57	f0:d7:aa:2b:ea:b6	(Unknown)
10.38.0.48	2c:0e:3d:c4:6e:59	(Unknown)
10.38.0.145	90:b0:ed:8b:20:0c	(Unknown)
10.38.0.185	e4:ce:8f:4f:f4:34	Apple, Inc.
10.38.0.198	54:13:79:90:2d:91	(Unknown)
10.38.0.157	60:f1:89:7b:51:f4	(Unknown)
10.38.0.126	a4:5e:60:ec:43:1f	(Unknown)
10.38.0.214	3c:15:c2:e5:ae:2e	(Unknown)
10.38.0.218	4c:34:88:04:9f:1b	(Unknown)
10.38.0.216	8c:85:90:e4:66:b7	(Unknown)
10.38.0.228	28:e3:47:a1:a9:50	(Unknown)
10.38.0.112	88:79:7e:01:b2:7a	(Unknown)
10.38.0.199	a4:08:ea:1e:2d:bd	(Unknown)
10.38.1.3	30:52:cb:80:4c:31	(Unknown)
10.38.0.238	e0:f8:47:44:1f:3c	Apple, Inc.
10.38.0.253	48:e2:44:01:aa:87	(Unknown)
10.38.0.102	bc:54:36:34:46:3e	(Unknown)
10.38.1.23	34:36:3b:ce:59:b2	(Unknown)
10.38.0.179	ac:bc:32:93:22:bb	(Unknown)
10.38.0.227	c8:1e:e7:80:65:cc	(Unknown)
10.38.1.49	ac:d1:b8:d7:9b:99	(Unknown)
10.38.10.78	f8:a9:d0:72:3e:13	(Unknown)
10.38.0.197	98:01:a7:a4:65:e9	(Unknown)
10.38.0.49	a0:cc:2b:a4:d9:42	(Unknown)
10.38.1.74	64:bc:0c:67:9f:10	(Unknown)
10.38.1.47	b4:4b:d2:55:91:0d	(Unknown)
10.38.1.42	4c:74:bf:29:6e:7c	(Unknown)
10.38.1.24	80:58:f8:cb:cf:30	(Unknown)
10.38.1.83	b0:72:bf:f8:fa:fb	(Unknown)
10.38.1.84	90:48:9a:9b:70:1d	(Unknown)
10.38.1.89	b4:b6:76:7f:36:95	Intel Corporate
10.38.1.93	f0:d5:bf:f9:41:9c	(Unknown)
10.38.1.95	28:37:37:1e:58:82	Apple, Inc.
10.38.0.247	a4:5e:60:bb:dc:c7	(Unknown)
10.38.1.79	48:43:7c:ba:f4:03	(Unknown)
10.38.0.237	c8:21:58:90:25:86	(Unknown)
10.38.1.110	8c:f5:a3:e2:f0:ea	(Unknown)
10.38.1.40	dc:a9:04:cb:23:35	(Unknown)
10.38.1.128	94:65:2d:8d:bc:57	(Unknown)
10.38.1.129	c4:50:06:08:93:8f	(Unknown)
10.38.1.44	c8:85:50:7a:64:8f	(Unknown)
10.38.1.143	fc:db:b3:f4:fe:26	(Unknown)
10.38.0.235	8c:8e:f2:60:55:53	(Unknown)
10.38.1.134	70:81:eb:64:70:a4	(Unknown)
10.38.1.188	2c:54:cf:e5:5b:df	(Unknown)
10.38.1.132	b8:44:d9:af:90:92	(Unknown)
10.38.1.141	78:d7:5f:b4:44:7a	(Unknown)
10.38.1.165	10:41:7f:01:ec:89	(Unknown)
10.38.0.80	f4:0f:24:d1:98:1a	(Unknown)
10.38.0.61	d8:1d:72:33:f5:fd	(Unknown)
10.38.0.147	8c:eb:c6:af:4c:62	(Unknown)
10.38.1.92	ac:29:3a:e6:ab:b6	(Unknown)
10.38.1.137	bc:4c:c4:a9:b2:1b	(Unknown)
10.38.11.24	08:74:02:42:3a:be	(Unknown)
10.38.1.197	d0:13:fd:4d:f4:0d	(Unknown)
10.38.0.190	4c:66:41:30:4a:ed	(Unknown)
10.38.1.205	6c:8d:c1:03:e5:92	(Unknown)
10.38.1.140	80:ed:2c:d3:7d:3d	(Unknown)
10.38.1.99	54:13:79:9b:06:45	(Unknown)
10.38.1.34	f0:24:75:62:72:0d	(Unknown)
10.38.1.27	90:b6:86:ff:b2:97	(Unknown)
10.38.1.219	a0:99:9b:67:8a:0d	(Unknown)
10.38.1.235	a0:99:9b:09:ec:7d	(Unknown)
10.38.1.243	3c:15:c2:d0:5d:a0	(Unknown)
10.38.0.56	00:56:cd:d9:49:41	(Unknown)
10.38.2.3	90:e7:c4:db:2c:6c	(Unknown)
10.38.0.239	a8:be:27:67:b6:e0	(Unknown)
10.38.11.193	78:4f:43:c5:92:f3	(Unknown)
